red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won,played_on
2,16,6,8,10,6,true,'2017-10-10 14:28:49.346000'
4,8,7,15,10,8,true,'2017-10-10 14:45:43.256566'
17,5,4,2,9,10,false,'2017-10-10 15:21:43.433000'
11,2,16,7,10,7,true,'2017-10-10 18:32:01.638000'
16,8,2,11,5,10,false,'2017-10-10 18:43:01.864000'
4,3,2,11,5,10,false,'2017-10-10 18:57:00.620000'
6,7,1,8,5,10,false,'2017-10-11 14:24:52.304000'
2,11,1,8,4,10,false,'2017-10-11 14:26:25.305000'
2,11,16,8,10,8,true,'2017-10-11 14:43:42.962000'
2,4,17,5,10,7,true,'2017-10-11 14:59:04.345000'
7,8,1,6,5,10,false,'2017-10-12 14:05:08.396000'
2,7,6,1,10,6,true,'2017-10-12 14:23:11.413000'
16,8,2,6,8,10,false,'2017-10-12 14:50:53.091000'
8,16,2,12,9,10,false,'2017-10-12 15:05:02.736000'
16,8,1,6,7,10,false,'2017-10-13 13:12:23.073000'
8,6,1,7,8,10,false,'2017-10-13 13:44:36.418000'
1,7,2,8,2,10,false,'2017-10-13 14:25:40.188000'
15,10,17,5,10,9,true,'2017-10-13 14:44:26.430000'
10,16,2,6,10,9,true,'2017-10-13 15:18:37.243000'
16,12,8,6,5,10,false,'2017-10-13 18:27:28.435000'
6,8,16,3,10,4,true,'2017-10-13 18:32:35.987000'
16,3,6,8,7,10,false,'2017-10-13 18:43:25.824000'
16,3,2,12,1,10,false,'2017-10-13 18:52:43.343000'
2,12,11,10,10,8,true,'2017-10-13 20:41:11.892000'
2,11,1,7,10,6,true,'2017-10-16 13:26:44.056000'
8,12,16,6,10,5,true,'2017-10-16 13:49:43.701000'
3,16,7,15,8,10,false,'2017-10-16 13:58:39.588000'
7,15,3,16,10,5,true,'2017-10-16 14:09:22.588000'
17,5,2,4,8,10,false,'2017-10-16 15:02:26.687000'
7,6,2,16,4,10,false,'2017-10-16 18:32:28.226000'
8,6,2,16,10,7,true,'2017-10-16 18:54:12.779000'
12,16,8,6,5,10,false,'2017-10-16 19:04:57.873000'
4,6,2,12,6,10,false,'2017-10-16 19:20:49.221000'
2,4,17,5,7,10,false,'2017-10-16 19:37:59.058000'
7,1,6,3,10,5,true,'2017-10-17 13:58:31.831000'
8,1,2,3,10,5,true,'2017-10-17 13:59:41.846000'
2,3,6,8,7,10,false,'2017-10-17 14:13:49.342000'
17,5,2,4,7,10,false,'2017-10-17 15:18:55.887000'
2,4,17,5,10,9,true,'2017-10-17 15:19:10.394000'
1,6,2,7,10,8,true,'2017-10-17 18:25:41.730000'
5,17,12,11,10,8,true,'2017-10-18 10:44:40.307000'
3,8,6,7,10,6,true,'2017-10-18 13:22:41.349000'
3,8,1,12,7,10,false,'2017-10-18 13:33:51.305000'
2,8,6,7,10,3,true,'2017-10-18 14:25:26.250000'
5,11,1,12,8,10,false,'2017-10-18 15:11:26.710000'
1,2,6,7,10,3,true,'2017-10-19 14:41:52.210000'
2,1,12,3,10,3,true,'2017-10-19 14:53:38.519000'
5,17,2,4,6,10,false,'2017-10-19 15:11:56.123000'
11,3,6,8,3,10,false,'2017-10-19 18:11:17.325000'
1,2,6,8,10,9,true,'2017-10-19 18:33:07.194000'
1,8,6,2,10,9,true,'2017-10-20 13:24:25.642000'
1,11,2,12,10,7,true,'2017-10-20 13:59:10.828000'
21,7,9,6,9,10,false,'2017-10-20 14:10:57.980000'
1,6,2,8,7,10,false,'2017-10-20 14:39:24.220000'
4,18,17,5,10,9,true,'2017-10-20 15:06:21.097000'
8,3,12,7,10,7,true,'2017-10-20 18:35:52.816000'
4,12,3,11,10,2,true,'2017-10-20 18:51:23.068000'
4,12,3,11,10,3,true,'2017-10-20 18:51:27.061000'
12,4,17,5,10,6,true,'2017-10-20 19:22:07.698000'
5,11,4,21,10,5,true,'2017-10-20 19:54:36.108000'
8,1,6,7,7,10,false,'2017-10-20 22:02:53.432000'
8,3,22,11,10,6,true,'2017-10-20 22:25:30.240000'
2,8,6,16,10,2,true,'2017-10-23 13:49:42.914000'
2,16,8,6,10,6,true,'2017-10-23 13:59:47.256000'
2,8,16,3,10,6,true,'2017-10-23 14:10:38.162000'
